race_id,race_name,feature,指标中文,玩家均值,全体均值,ratio,diff
3,美国,dmg_per_min,每分钟伤害输出,861.7757023752846,622.4622256382561,1.3844626499088244,239.3134767370285
3,美国,dmg_per_death,每阵亡伤害,326.1824407770644,196.83541388080678,1.6571329027945318,129.34702689625763
3,美国,manearn_per_min,每分钟人力获取,224.25483806758055,239.03947760120516,0.9381497998490017,-14.784639533624613
3,美国,dmg_per_kill,每击杀伤害,226.5154544640019,229.34448926560077,0.9876646924865824,-2.8290348015988798
3,美国,gt_min,对局时长(分钟),26.475000000000005,23.72251090342679,1.116028573357115,2.752489096573214
3,美国,dmg_per_fuel,燃料输出效率,46.96824171114164,44.97931528005959,1.0442186907181263,1.9889264310820494
3,美国,bprod,建筑生产数量,17.166666666666668,15.263177570093458,1.124711193840979,1.9034890965732103
3,美国,cap_pressure_per_min,每分钟控图压力,2.630914752382877,0.9876720993210388,2.6637532377308846,1.6432426530618383
3,美国,dmg_per_man,人力输出效率,3.9401652511756,2.706753173879188,1.4556795533479492,1.233412077296412
3,美国,pcap_per_min,每分钟占点数,1.621863574167355,0.606992110220336,2.6719681308190717,1.014871463947019
3,美国,ekills_per_min,每分钟击杀数,3.682620022339829,2.778994065080725,1.3251629676412624,0.9036259572591039
3,美国,plost_per_min,每分钟丢点数,1.0090511782155216,0.38067998910070283,2.650654636717963,0.6283711891148187
