race_id,race_name,feature,指标中文,玩家均值,全体均值,ratio,diff
1,苏联,dmg_per_min,每分钟伤害输出,663.071967853992,598.140705739123,1.1085551635122932,64.93126211486901
1,苏联,dmg_per_kill,每击杀伤害,180.29351111729068,218.31284856746458,0.82584929059535,-38.01933745017391
1,苏联,bprod,建筑生产数量,30.294117647058822,18.88608187134503,1.604044600326692,11.408035775713792
1,苏联,dmg_per_fuel,燃料输出效率,44.746532051410256,53.724564172537306,0.8328877626202056,-8.97803212112705
1,苏联,manearn_per_min,每分钟人力获取,235.82456459049186,241.34059248229164,0.9771442183220607,-5.51602789179978
1,苏联,munearn_per_min,每分钟弹药获取,39.92098523761427,36.98781145352428,1.0793010905166844,2.9331737840899876
1,苏联,dmg_per_death,每阵亡伤害,183.89459730264178,181.26412136443665,1.01451184006192,2.6304759382051373
1,苏联,fuelearn_per_min,每分钟燃料获取,25.446950142243196,23.072194901638124,1.1029271489222927,2.3747552406050723
1,苏联,cap_pressure_per_min,每分钟控图压力,2.747020909346785,1.0294715333197206,2.6683796690215513,1.7175493760270644
1,苏联,pcap_per_min,每分钟占点数,1.7138841558893352,0.6224583726380011,2.7534116837818923,1.091425783251334
1,苏联,cabil,指挥官技能使用,2.764705882352941,3.778713450292398,0.7316526957446343,-1.0140075679394567
1,苏联,ekills_per_min,每分钟击杀数,3.7278342768985357,2.8146193656398664,1.3244541419727858,0.9132149112586694
